rule_label,lhs,rhs,row_index_1,row_index_2,datetime_1,datetime_2,station_1,station_2,month_1,month_2,time_slot_1,time_slot_2,rhs_value_1,rhs_value_2,rhs_abs_diff,PM2.5_1,PM2.5_2,NO2_1,NO2_2
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,21625,26243,2014-06-19 18:00:00,2014-09-27 23:00:00,Aotizhongxin,Aotizhongxin,2014-06,2014-09,evening,evening,91.0,328.0,237.0,91.0,86.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,13825,45166,2013-12-31 12:00:00,2015-11-23 13:00:00,Aotizhongxin,Aotizhongxin,2013-12,2015-11,afternoon,afternoon,274.0,38.0,236.0,33.0,38.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,13825,28333,2013-12-31 12:00:00,2014-11-13 12:00:00,Aotizhongxin,Aotizhongxin,2013-12,2014-11,afternoon,afternoon,274.0,38.0,236.0,33.0,23.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,13825,52793,2013-12-31 12:00:00,2016-05-06 14:00:00,Aotizhongxin,Aotizhongxin,2013-12,2016-05,afternoon,afternoon,274.0,39.0,235.0,33.0,39.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,13825,52705,2013-12-31 12:00:00,2016-05-04 15:00:00,Aotizhongxin,Aotizhongxin,2013-12,2016-05,afternoon,afternoon,274.0,39.0,235.0,33.0,26.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,13825,24318,2013-12-31 12:00:00,2014-08-17 15:00:00,Aotizhongxin,Aotizhongxin,2013-12,2014-08,afternoon,afternoon,274.0,39.0,235.0,33.0,39.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,13825,45073,2013-12-31 12:00:00,2015-11-21 13:00:00,Aotizhongxin,Aotizhongxin,2013-12,2015-11,afternoon,afternoon,274.0,39.0,235.0,33.0,39.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,10131,13825,2013-10-07 12:00:00,2013-12-31 12:00:00,Aotizhongxin,Aotizhongxin,2013-10,2013-12,afternoon,afternoon,40.0,274.0,234.0,24.0,33.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,34368,45804,2015-03-30 09:00:00,2015-12-07 07:00:00,Aotizhongxin,Aotizhongxin,2015-03,2015-12,morning,morning,373.0,139.0,234.0,140.0,139.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,34368,46514,2015-03-30 09:00:00,2015-12-22 10:00:00,Aotizhongxin,Aotizhongxin,2015-03,2015-12,morning,morning,373.0,140.0,233.0,140.0,140.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,26243,60097,2014-09-27 23:00:00,2016-10-12 18:00:00,Aotizhongxin,Aotizhongxin,2014-09,2016-10,evening,evening,328.0,95.0,233.0,86.0,82.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,9797,34368,2013-09-30 11:00:00,2015-03-30 09:00:00,Aotizhongxin,Aotizhongxin,2013-09,2015-03,morning,morning,145.0,373.0,228.0,131.0,140.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,6138,35251,2013-07-13 07:00:00,2015-04-18 11:00:00,Changping,Changping,2013-07,2015-04,morning,morning,118.0,344.0,226.0,157.0,158.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,13825,19412,2013-12-31 12:00:00,2014-05-03 15:00:00,Aotizhongxin,Aotizhongxin,2013-12,2014-05,afternoon,afternoon,274.0,48.0,226.0,33.0,43.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,13825,30739,2013-12-31 12:00:00,2015-01-10 17:00:00,Aotizhongxin,Aotizhongxin,2013-12,2015-01,afternoon,afternoon,274.0,49.0,225.0,33.0,28.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,13255,13825,2013-12-19 14:00:00,2013-12-31 12:00:00,Aotizhongxin,Aotizhongxin,2013-12,2013-12,afternoon,afternoon,50.0,274.0,224.0,25.0,33.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,34368,60129,2015-03-30 09:00:00,2016-10-13 11:00:00,Aotizhongxin,Aotizhongxin,2015-03,2016-10,morning,morning,373.0,151.0,222.0,140.0,146.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,17290,43606,2014-03-17 09:00:00,2015-10-21 07:00:00,Changping,Changping,2014-03,2015-10,morning,morning,264.0,42.0,222.0,49.0,42.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,690,31447,2013-03-15 12:00:00,2015-01-25 13:00:00,Aotizhongxin,Aotizhongxin,2013-03,2015-01,afternoon,afternoon,331.0,109.0,222.0,110.0,105.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,38363,50019,2015-06-26 12:00:00,2016-03-06 16:00:00,Aotizhongxin,Aotizhongxin,2015-06,2016-03,afternoon,afternoon,113.0,335.0,222.0,113.0,123.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,26243,58785,2014-09-27 23:00:00,2016-09-13 23:00:00,Aotizhongxin,Aotizhongxin,2014-09,2016-09,evening,evening,328.0,108.0,220.0,86.0,82.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,690,38363,2013-03-15 12:00:00,2015-06-26 12:00:00,Aotizhongxin,Aotizhongxin,2013-03,2015-06,afternoon,afternoon,331.0,113.0,218.0,110.0,113.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,13825,47358,2013-12-31 12:00:00,2016-01-09 12:00:00,Aotizhongxin,Aotizhongxin,2013-12,2016-01,afternoon,afternoon,274.0,56.0,218.0,33.0,43.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,17290,44825,2014-03-17 09:00:00,2015-11-16 07:00:00,Changping,Changping,2014-03,2015-11,morning,morning,264.0,47.0,217.0,49.0,47.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,11724,13825,2013-11-14 16:00:00,2013-12-31 12:00:00,Aotizhongxin,Aotizhongxin,2013-11,2013-12,afternoon,afternoon,57.0,274.0,217.0,23.0,33.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,50019,59669,2016-03-06 16:00:00,2016-10-03 14:00:00,Aotizhongxin,Aotizhongxin,2016-03,2016-10,afternoon,afternoon,335.0,120.0,215.0,123.0,120.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,8673,17290,2013-09-06 06:00:00,2014-03-17 09:00:00,Changping,Changping,2013-09,2014-03,morning,morning,49.0,264.0,215.0,47.0,49.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,3451,13825,2013-05-14 17:00:00,2013-12-31 12:00:00,Aotizhongxin,Aotizhongxin,2013-05,2013-12,afternoon,afternoon,59.0,274.0,215.0,24.0,33.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,26243,44110,2014-09-27 23:00:00,2015-10-31 22:00:00,Aotizhongxin,Aotizhongxin,2014-09,2015-10,evening,evening,328.0,114.0,214.0,86.0,80.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,690,59669,2013-03-15 12:00:00,2016-10-03 14:00:00,Aotizhongxin,Aotizhongxin,2013-03,2016-10,afternoon,afternoon,331.0,120.0,211.0,110.0,120.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,13825,36632,2013-12-31 12:00:00,2015-05-18 12:00:00,Aotizhongxin,Aotizhongxin,2013-12,2015-05,afternoon,afternoon,274.0,64.0,210.0,33.0,27.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,21432,50019,2014-06-15 15:00:00,2016-03-06 16:00:00,Aotizhongxin,Aotizhongxin,2014-06,2016-03,afternoon,afternoon,125.0,335.0,210.0,125.0,123.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,26243,55786,2014-09-27 23:00:00,2016-07-09 22:00:00,Aotizhongxin,Aotizhongxin,2014-09,2016-07,evening,evening,328.0,119.0,209.0,86.0,91.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,13825,50645,2013-12-31 12:00:00,2016-03-20 17:00:00,Aotizhongxin,Aotizhongxin,2013-12,2016-03,afternoon,afternoon,274.0,65.0,209.0,33.0,40.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,17290,45163,2014-03-17 09:00:00,2015-11-23 11:00:00,Changping,Changping,2014-03,2015-11,morning,morning,264.0,56.0,208.0,49.0,56.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,50019,60271,2016-03-06 16:00:00,2016-10-16 12:00:00,Aotizhongxin,Aotizhongxin,2016-03,2016-10,afternoon,afternoon,335.0,128.0,207.0,123.0,128.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,13825,26660,2013-12-31 12:00:00,2014-10-06 17:00:00,Aotizhongxin,Aotizhongxin,2013-12,2014-10,afternoon,afternoon,274.0,67.0,207.0,33.0,28.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,17290,54215,2014-03-17 09:00:00,2016-06-06 07:00:00,Changping,Changping,2014-03,2016-06,morning,morning,264.0,57.0,207.0,49.0,50.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,690,39817,2013-03-15 12:00:00,2015-07-27 15:00:00,Aotizhongxin,Aotizhongxin,2013-03,2015-07,afternoon,afternoon,331.0,124.0,207.0,110.0,103.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,17850,24762,2014-03-29 02:00:00,2014-08-27 00:00:00,Aotizhongxin,Aotizhongxin,2014-03,2014-08,night,night,5.0,211.0,206.0,54.0,44.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,10201,26243,2013-10-08 23:00:00,2014-09-27 23:00:00,Aotizhongxin,Aotizhongxin,2013-10,2014-09,evening,evening,122.0,328.0,206.0,92.0,86.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,32639,50019,2015-02-20 17:00:00,2016-03-06 16:00:00,Aotizhongxin,Aotizhongxin,2015-02,2016-03,afternoon,afternoon,133.0,335.0,202.0,133.0,123.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,15842,35251,2014-02-13 06:00:00,2015-04-18 11:00:00,Changping,Changping,2014-02,2015-04,morning,morning,143.0,344.0,201.0,149.0,158.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,17850,51168,2014-03-29 02:00:00,2016-04-01 02:00:00,Aotizhongxin,Aotizhongxin,2014-03,2016-04,night,night,5.0,205.0,200.0,54.0,58.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,50019,63561,2016-03-06 16:00:00,2016-12-25 15:00:00,Aotizhongxin,Aotizhongxin,2016-03,2016-12,afternoon,afternoon,335.0,136.0,199.0,123.0,133.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,26243,55646,2014-09-27 23:00:00,2016-07-06 23:00:00,Aotizhongxin,Aotizhongxin,2014-09,2016-07,evening,evening,328.0,130.0,198.0,86.0,85.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,13825,36172,2013-12-31 12:00:00,2015-05-08 15:00:00,Aotizhongxin,Aotizhongxin,2013-12,2015-05,afternoon,afternoon,274.0,77.0,197.0,33.0,32.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,7261,34368,2013-08-06 09:00:00,2015-03-30 09:00:00,Aotizhongxin,Aotizhongxin,2013-08,2015-03,morning,morning,177.0,373.0,196.0,138.0,140.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,24100,35140,2014-08-13 02:00:00,2015-04-16 03:00:00,Aotizhongxin,Aotizhongxin,2014-08,2015-04,night,night,23.0,219.0,196.0,23.0,30.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,35140,41352,2015-04-16 03:00:00,2015-08-30 04:00:00,Aotizhongxin,Aotizhongxin,2015-04,2015-08,night,night,219.0,25.0,194.0,30.0,25.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,17290,60450,2014-03-17 09:00:00,2016-10-20 09:00:00,Changping,Changping,2014-03,2016-10,morning,morning,264.0,70.0,194.0,49.0,55.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,690,27626,2013-03-15 12:00:00,2014-10-29 13:00:00,Aotizhongxin,Aotizhongxin,2013-03,2014-10,afternoon,afternoon,331.0,138.0,193.0,110.0,108.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,34368,40548,2015-03-30 09:00:00,2015-08-13 07:00:00,Aotizhongxin,Aotizhongxin,2015-03,2015-08,morning,morning,373.0,181.0,192.0,140.0,136.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,14002,17290,2014-01-04 06:00:00,2014-03-17 09:00:00,Changping,Changping,2014-01,2014-03,morning,morning,73.0,264.0,191.0,58.0,49.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,22049,35140,2014-06-29 03:00:00,2015-04-16 03:00:00,Aotizhongxin,Aotizhongxin,2014-06,2015-04,night,night,29.0,219.0,190.0,29.0,30.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,14464,34353,2014-01-14 00:00:00,2015-03-30 01:00:00,Aotizhongxin,Aotizhongxin,2014-01,2015-03,night,night,183.0,372.0,189.0,145.0,137.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,26243,61491,2014-09-27 23:00:00,2016-11-11 20:00:00,Aotizhongxin,Aotizhongxin,2014-09,2016-11,evening,evening,328.0,141.0,187.0,86.0,76.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,11726,13825,2013-11-14 17:00:00,2013-12-31 12:00:00,Aotizhongxin,Aotizhongxin,2013-11,2013-12,afternoon,afternoon,87.0,274.0,187.0,32.0,33.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,35140,54959,2015-04-16 03:00:00,2016-06-22 05:00:00,Aotizhongxin,Aotizhongxin,2015-04,2016-06,night,night,219.0,34.0,185.0,30.0,34.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,17290,41792,2014-03-17 09:00:00,2015-09-08 10:00:00,Changping,Changping,2014-03,2015-09,morning,morning,264.0,79.0,185.0,49.0,52.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,8477,35140,2013-09-02 03:00:00,2015-04-16 03:00:00,Aotizhongxin,Aotizhongxin,2013-09,2015-04,night,night,34.0,219.0,185.0,28.0,30.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,13825,54272,2013-12-31 12:00:00,2016-06-07 12:00:00,Aotizhongxin,Aotizhongxin,2013-12,2016-06,afternoon,afternoon,274.0,89.0,185.0,33.0,37.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,8478,35140,2013-09-02 04:00:00,2015-04-16 03:00:00,Aotizhongxin,Aotizhongxin,2013-09,2015-04,night,night,34.0,219.0,185.0,20.0,30.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,2621,61056,2013-04-26 09:00:00,2016-11-02 10:00:00,Aotizhongxin,Aotizhongxin,2013-04,2016-11,morning,morning,263.0,79.0,184.0,84.0,74.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,30823,34368,2015-01-12 11:00:00,2015-03-30 09:00:00,Aotizhongxin,Aotizhongxin,2015-01,2015-03,morning,morning,189.0,373.0,184.0,145.0,140.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,26243,32182,2014-09-27 23:00:00,2015-02-10 18:00:00,Aotizhongxin,Aotizhongxin,2014-09,2015-02,evening,evening,328.0,146.0,182.0,86.0,92.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,35140,38990,2015-04-16 03:00:00,2015-07-10 01:00:00,Aotizhongxin,Aotizhongxin,2015-04,2015-07,night,night,219.0,37.0,182.0,30.0,25.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,19172,57022,2014-04-25 20:00:00,2016-08-05 22:00:00,Aotizhongxin,Aotizhongxin,2014-04,2016-08,evening,evening,287.0,105.0,182.0,115.0,105.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,35140,35673,2015-04-16 03:00:00,2015-04-28 03:00:00,Aotizhongxin,Aotizhongxin,2015-04,2015-04,night,night,219.0,38.0,181.0,30.0,25.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,2621,61698,2013-04-26 09:00:00,2016-11-16 07:00:00,Aotizhongxin,Aotizhongxin,2013-04,2016-11,morning,morning,263.0,82.0,181.0,84.0,82.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,3394,35261,2013-05-13 12:00:00,2015-04-18 16:00:00,Changping,Changping,2013-05,2015-04,afternoon,afternoon,101.0,281.0,180.0,128.0,123.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,35251,39529,2015-04-18 11:00:00,2015-07-21 11:00:00,Changping,Changping,2015-04,2015-07,morning,morning,344.0,164.0,180.0,158.0,164.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,893,17120,2013-03-19 18:00:00,2014-03-13 20:00:00,Changping,Changping,2013-03,2014-03,evening,evening,6.0,186.0,180.0,23.0,17.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,17290,62271,2014-03-17 09:00:00,2016-11-28 09:00:00,Changping,Changping,2014-03,2016-11,morning,morning,264.0,84.0,180.0,49.0,58.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,17120,48992,2014-03-13 20:00:00,2016-02-13 19:00:00,Changping,Changping,2014-03,2016-02,evening,evening,186.0,7.0,179.0,17.0,7.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,19172,39500,2014-04-25 20:00:00,2015-07-20 21:00:00,Aotizhongxin,Aotizhongxin,2014-04,2015-07,evening,evening,287.0,109.0,178.0,115.0,107.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,2621,54175,2013-04-26 09:00:00,2016-06-05 11:00:00,Aotizhongxin,Aotizhongxin,2013-04,2016-06,morning,morning,263.0,85.0,178.0,84.0,80.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,24346,35140,2014-08-18 05:00:00,2015-04-16 03:00:00,Aotizhongxin,Aotizhongxin,2014-08,2015-04,night,night,41.0,219.0,178.0,33.0,30.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,17290,24213,2014-03-17 09:00:00,2014-08-15 10:00:00,Changping,Changping,2014-03,2014-08,morning,morning,264.0,86.0,178.0,49.0,48.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,24762,54959,2014-08-27 00:00:00,2016-06-22 05:00:00,Aotizhongxin,Aotizhongxin,2014-08,2016-06,night,night,211.0,34.0,177.0,44.0,34.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,34353,44204,2015-03-30 01:00:00,2015-11-03 03:00:00,Aotizhongxin,Aotizhongxin,2015-03,2015-11,night,night,372.0,195.0,177.0,137.0,143.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,34394,63942,2015-03-30 22:00:00,2017-01-02 18:00:00,Aotizhongxin,Aotizhongxin,2015-03,2017-01,evening,evening,360.0,183.0,177.0,180.0,183.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,8457,13825,2013-09-01 17:00:00,2013-12-31 12:00:00,Aotizhongxin,Aotizhongxin,2013-09,2013-12,afternoon,afternoon,97.0,274.0,177.0,43.0,33.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,17290,36631,2014-03-17 09:00:00,2015-05-18 11:00:00,Changping,Changping,2014-03,2015-05,morning,morning,264.0,87.0,177.0,49.0,42.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,35140,52165,2015-04-16 03:00:00,2016-04-23 01:00:00,Aotizhongxin,Aotizhongxin,2015-04,2016-04,night,night,219.0,43.0,176.0,30.0,22.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,17120,56445,2014-03-13 20:00:00,2016-07-23 21:00:00,Changping,Changping,2014-03,2016-07,evening,evening,186.0,10.0,176.0,17.0,10.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,17120,49000,2014-03-13 20:00:00,2016-02-13 23:00:00,Changping,Changping,2014-03,2016-02,evening,evening,186.0,10.0,176.0,17.0,10.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,17290,43323,2014-03-17 09:00:00,2015-10-15 08:00:00,Changping,Changping,2014-03,2015-10,morning,morning,264.0,88.0,176.0,49.0,56.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,17120,38518,2014-03-13 20:00:00,2015-06-29 20:00:00,Changping,Changping,2014-03,2015-06,evening,evening,186.0,11.0,175.0,17.0,11.0,,
